handle,dc.description.abstract[en],dc.subject[en],sedici.subject.materias[es],fulltext,dc.description.abstract[es],dc.subject[es]
10915/100010,,,Historia||Química,El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. ,Esta investigación estudia métodos de Historia para la educación y la sociedad.,Historia::http://example.org/10||repositorios
10915/100011,,,Química,El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. ,Esta investigación estudia métodos de Química para la educación y la sociedad.,Química::http://example.org/11||repositorios
10915/100012,The research study presents methods for Ciencias Informáticas and education.,Ciencias Informáticas::http://example.org/12||repositorios,Ciencias Informáticas,The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. ,,
10915/100013,,,Educación,El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. ,Esta investigación estudia métodos de Educación para la educación y la sociedad.,Educación::http://example.org/13||repositorios
10915/100014,,,Historia,El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. ,Esta investigación estudia métodos de Historia para la educación y la sociedad.,Historia::http://example.org/14||repositorios
10915/100015,The research study presents methods for Química and education.,Química::http://example.org/15||repositorios,Química||Ciencias Informáticas,The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. ,,
10915/100016,,,Ciencias Informáticas,El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. ,Esta investigación estudia métodos de Ciencias Informáticas para la educación y la sociedad.,Ciencias Informáticas::http://example.org/16||repositorios
10915/100017,,,Educación,El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. ,Esta investigación estudia métodos de Educación para la educación y la sociedad.,Educación::http://example.org/17||repositorios
10915/100018,The research study presents methods for Historia and education.,Historia::http://example.org/18||repositorios,Historia,The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. ,,
10915/100019,,,Química,El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. ,Esta investigación estudia métodos de Química para la educación y la sociedad.,Química::http://example.org/19||repositorios
10915/100020,,,Ciencias Informáticas||Educación,El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. ,Esta investigación estudia métodos de Ciencias Informáticas para la educación y la sociedad.,Ciencias Informáticas::http://example.org/20||repositorios
10915/100021,The research study presents methods for Educación and education.,Educación::http://example.org/21||repositorios,Educación,The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. ,,
10915/100022,,,Historia,El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. ,Esta investigación estudia métodos de Historia para la educación y la sociedad.,Historia::http://example.org/22||repositorios
10915/100023,,,Química,El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. ,Esta investigación estudia métodos de Química para la educación y la sociedad.,Química::http://example.org/23||repositorios
10915/100024,The research study presents methods for Ciencias Informáticas and education.,Ciencias Informáticas::http://example.org/24||repositorios,Ciencias Informáticas,The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. ,,
10915/100025,,,Educación||Historia,El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. ,Esta investigación estudia métodos de Educación para la educación y la sociedad.,Educación::http://example.org/25||repositorios
10915/100026,,,Historia,El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. ,Esta investigación estudia métodos de Historia para la educación y la sociedad.,Historia::http://example.org/26||repositorios
10915/100027,The research study presents methods for Química and education.,Química::http://example.org/27||repositorios,Química,The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. ,,
10915/100028,,,Ciencias Informáticas,El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. ,Esta investigación estudia métodos de Ciencias Informáticas para la educación y la sociedad.,Ciencias Informáticas::http://example.org/28||repositorios
10915/100029,,,Educación,El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. ,Esta investigación estudia métodos de Educación para la educación y la sociedad.,Educación::http://example.org/29||repositorios
10915/100030,The research study presents methods for Historia and education.,Historia::http://example.org/30||repositorios,Historia||Química,The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. ,,
10915/100031,,,Química,El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. ,Esta investigación estudia métodos de Química para la educación y la sociedad.,Química::http://example.org/31||repositorios
10915/100032,,,Ciencias Informáticas,El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. ,Esta investigación estudia métodos de Ciencias Informáticas para la educación y la sociedad.,Ciencias Informáticas::http://example.org/32||repositorios
10915/100033,The research study presents methods for Educación and education.,Educación::http://example.org/33||repositorios,Educación,The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. ,,
10915/100034,,,Historia,El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. ,Esta investigación estudia métodos de Historia para la educación y la sociedad.,Historia::http://example.org/34||repositorios
10915/100035,,,Química||Ciencias Informáticas,El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. ,Esta investigación estudia métodos de Química para la educación y la sociedad.,Química::http://example.org/35||repositorios
10915/100036,The research study presents methods for Ciencias Informáticas and education.,Ciencias Informáticas::http://example.org/36||repositorios,Ciencias Informáticas,The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. ,,
10915/100037,,,Educación,El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. ,Esta investigación estudia métodos de Educación para la educación y la sociedad.,Educación::http://example.org/37||repositorios
10915/100038,,,Historia,El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. ,Esta investigación estudia métodos de Historia para la educación y la sociedad.,Historia::http://example.org/38||repositorios
10915/100039,The research study presents methods for Química and education.,Química::http://example.org/39||repositorios,Química,The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. ,,
10915/100040,,,Ciencias Informáticas||Educación,El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. ,Esta investigación estudia métodos de Ciencias Informáticas para la educación y la sociedad.,Ciencias Informáticas::http://example.org/40||repositorios
10915/100041,,,Educación,El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. ,Esta investigación estudia métodos de Educación para la educación y la sociedad.,Educación::http://example.org/41||repositorios
10915/100042,The research study presents methods for Historia and education.,Historia::http://example.org/42||repositorios,Historia,The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. ,,
10915/100043,,,Química,El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. ,Esta investigación estudia métodos de Química para la educación y la sociedad.,Química::http://example.org/43||repositorios
10915/100044,,,Ciencias Informáticas,El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. ,Esta investigación estudia métodos de Ciencias Informáticas para la educación y la sociedad.,Ciencias Informáticas::http://example.org/44||repositorios
10915/100045,The research study presents methods for Educación and education.,Educación::http://example.org/45||repositorios,Educación||Historia,The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. ,,
10915/100046,,,Historia,El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. ,Esta investigación estudia métodos de Historia para la educación y la sociedad.,Historia::http://example.org/46||repositorios
10915/100047,,,Química,El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. ,Esta investigación estudia métodos de Química para la educación y la sociedad.,Química::http://example.org/47||repositorios
10915/100048,The research study presents methods for Ciencias Informáticas and education.,Ciencias Informáticas::http://example.org/48||repositorios,Ciencias Informáticas,The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. ,,
10915/100049,,,Educación,El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. ,Esta investigación estudia métodos de Educación para la educación y la sociedad.,Educación::http://example.org/49||repositorios
10915/100050,,,Historia||Química,El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. ,Esta investigación estudia métodos de Historia para la educación y la sociedad.,Historia::http://example.org/50||repositorios
10915/100051,The research study presents methods for Química and education.,Química::http://example.org/51||repositorios,Química,The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. ,,
10915/100052,,,Ciencias Informáticas,El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. ,Esta investigación estudia métodos de Ciencias Informáticas para la educación y la sociedad.,Ciencias Informáticas::http://example.org/52||repositorios
10915/100053,,,Educación,El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. ,Esta investigación estudia métodos de Educación para la educación y la sociedad.,Educación::http://example.org/53||repositorios
10915/100054,The research study presents methods for Historia and education.,Historia::http://example.org/54||repositorios,Historia,The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. ,,
10915/100055,,,Química||Ciencias Informáticas,El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. ,Esta investigación estudia métodos de Química para la educación y la sociedad.,Química::http://example.org/55||repositorios
10915/100056,,,Ciencias Informáticas,El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. ,Esta investigación estudia métodos de Ciencias Informáticas para la educación y la sociedad.,Ciencias Informáticas::http://example.org/56||repositorios
10915/100057,The research study presents methods for Educación and education.,Educación::http://example.org/57||repositorios,Educación,The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. ,,
10915/100058,,,Historia,El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. ,Esta investigación estudia métodos de Historia para la educación y la sociedad.,Historia::http://example.org/58||repositorios
